Voter Name,Voter ID,Father's Name
Siva Sundaram,EPIC10083,Ganesh Reddy
Siva Sundaram,EPIC10084,Mani Rajan
Murali Kumar,EPIC10085,Prakash Sundaram
Chitra Natarajan,EPIC10086,Mani Iyer
Ram Natarajan,EPIC10087,Subramanian Iyer
Prasad Iyer,EPIC10088,Murugan Pillai
Hari Sundaram,EPIC10089,Krishnan Reddy
Karthik Swamy,EPIC10090,Suresh Swamy
Ezhil Rajan,EPIC10091,Ganesh Swamy
Siva Iyer,EPIC10092,Ganesh Pillai
Deepa Natarajan,EPIC10093,Ganesh Reddy
Hari Iyer,EPIC10094,Prakash Natarajan
Siva Reddy,EPIC10095,Krishnan Pillai
Prasad Reddy,EPIC10096,Ramesh Reddy
