Voter Name,Voter ID,Father's Name
Murali Natarajan,EPIC10213,Krishnan Pillai
Ram Reddy,EPIC10214,Mani Sundaram
Deepa Reddy,EPIC10215,Suresh Reddy
Deepa Kumar,EPIC10216,Krishnan Sundaram
Lakshmi Pillai,EPIC10217,Ganesh Kumar
Ram Pillai,EPIC10218,Prakash Natarajan
Janaki Iyer,EPIC10219,Krishnan Iyer
Chitra Natarajan,EPIC10220,Subramanian Pillai
Murali Reddy,EPIC10221,Subramanian Pillai
Hari Reddy,EPIC10222,Murugan Swamy
Hari Sundaram,EPIC10223,Krishnan Pillai
Janaki Sundaram,EPIC10224,Ramesh Sundaram
Ezhil Iyer,EPIC10225,Ramesh Iyer
Gokul Kumar,EPIC10226,Prakash Swamy
Indu Kumar,EPIC10227,Ramesh Natarajan
