Voter Name,Voter ID,Father's Name
Janaki Pillai,EPIC10303,Murugan Sundaram
Janaki Pillai,EPIC10304,Subramanian Iyer
Arun Iyer,EPIC10305,Krishnan Swamy
Siva Reddy,EPIC10306,Suresh Reddy
Indu Iyer,EPIC10307,Murugan Sundaram
Chitra Sundaram,EPIC10308,Mani Sundaram
Hari Pillai,EPIC10309,Subramanian Rajan
Lakshmi Natarajan,EPIC10310,Ramesh Pillai
Karthik Kumar,EPIC10311,Ramesh Natarajan
Lakshmi Swamy,EPIC10312,Murugan Pillai
Gokul Rajan,EPIC10313,Krishnan Natarajan
Deepa Reddy,EPIC10314,Subramanian Iyer
Gokul Swamy,EPIC10315,Krishnan Kumar
