Voter Name,Voter ID,Father's Name
Ram Swamy,EPIC10383,Prakash Kumar
Lakshmi Sundaram,EPIC10384,Subramanian Iyer
Karthik Swamy,EPIC10385,Murugan Natarajan
Karthik Swamy,EPIC10386,Subramanian Kumar
Hari Sundaram,EPIC10387,Murugan Rajan
Ram Natarajan,EPIC10388,Prakash Kumar
Murali Sundaram,EPIC10389,Subramanian Kumar
Ram Kumar,EPIC10390,Mani Rajan
Deepa Rajan,EPIC10391,Subramanian Kumar
Arun Swamy,EPIC10392,Ramesh Reddy
Murali Sundaram,EPIC10393,Mani Swamy
Lakshmi Kumar,EPIC10394,Ganesh Natarajan
Murali Sundaram,EPIC10395,Murugan Pillai
Chitra Sundaram,EPIC10396,Mani Iyer
