Voter Name,Voter ID,Father's Name
Hari Sundaram,EPIC10562,Prakash Kumar
Murali Swamy,EPIC10563,Ganesh Sundaram
Karthik Swamy,EPIC10564,Murugan Iyer
Karthik Reddy,EPIC10565,Murugan Sundaram
Chitra Kumar,EPIC10566,Murugan Rajan
Arun Iyer,EPIC10567,Prakash Reddy
Gokul Iyer,EPIC10568,Murugan Reddy
Janaki Sundaram,EPIC10569,Murugan Kumar
Gokul Rajan,EPIC10570,Ramesh Iyer
Nisha Natarajan,EPIC10571,Mani Pillai
Ram Swamy,EPIC10572,Ganesh Rajan
Bala Swamy,EPIC10573,Prakash Swamy
Nisha Reddy,EPIC10574,Mani Reddy
