Voter Name,Voter ID,Father's Name
Indu Swamy,EPIC10684,Prakash Swamy
Ram Natarajan,EPIC10685,Subramanian Natarajan
Hari Pillai,EPIC10686,Mani Reddy
Karthik Reddy,EPIC10687,Ramesh Rajan
Ezhil Pillai,EPIC10688,Subramanian Rajan
Janaki Rajan,EPIC10689,Krishnan Iyer
Prasad Kumar,EPIC10690,Murugan Natarajan
Ezhil Kumar,EPIC10691,Krishnan Reddy
Bala Reddy,EPIC10692,Suresh Reddy
Bala Pillai,EPIC10693,Subramanian Swamy
Prasad Iyer,EPIC10694,Murugan Kumar
Ezhil Natarajan,EPIC10695,Subramanian Rajan
Hari Kumar,EPIC10696,Subramanian Rajan
Siva Kumar,EPIC10697,Ganesh Natarajan
Indu Kumar,EPIC10698,Murugan Sundaram
