Voter Name,Voter ID,Father's Name
Indu Natarajan,EPIC10726,Ramesh Kumar
Prasad Swamy,EPIC10727,Prakash Kumar
Prasad Kumar,EPIC10728,Suresh Kumar
Siva Swamy,EPIC10729,Ramesh Rajan
Hari Rajan,EPIC10730,Suresh Iyer
Gokul Kumar,EPIC10731,Suresh Swamy
Murali Reddy,EPIC10732,Subramanian Kumar
Indu Pillai,EPIC10733,Ganesh Pillai
Prasad Reddy,EPIC10734,Ramesh Pillai
Murali Pillai,EPIC10735,Mani Sundaram
Ezhil Pillai,EPIC10736,Prakash Swamy
Bala Pillai,EPIC10737,Ramesh Kumar
Gokul Sundaram,EPIC10738,Prakash Reddy
