Voter Name,Voter ID,Father's Name
Chitra Natarajan,EPIC10822,Prakash Rajan
Indu Swamy,EPIC10823,Ganesh Rajan
Arun Reddy,EPIC10824,Subramanian Swamy
Janaki Reddy,EPIC10825,Murugan Rajan
Janaki Swamy,EPIC10826,Murugan Natarajan
Prasad Natarajan,EPIC10827,Ganesh Sundaram
Karthik Kumar,EPIC10828,Ganesh Rajan
Chitra Sundaram,EPIC10829,Subramanian Swamy
Ram Kumar,EPIC10830,Prakash Natarajan
Chitra Iyer,EPIC10831,Subramanian Natarajan
Karthik Iyer,EPIC10832,Suresh Kumar
Chitra Sundaram,EPIC10833,Suresh Swamy
Ezhil Swamy,EPIC10834,Subramanian Swamy
