Voter Name,Voter ID,Father's Name
Prasad Pillai,EPIC10857,Subramanian Iyer
Chitra Reddy,EPIC10858,Suresh Iyer
Murali Sundaram,EPIC10859,Mani Rajan
Murali Reddy,EPIC10860,Murugan Pillai
Prasad Iyer,EPIC10861,Suresh Natarajan
Arun Reddy,EPIC10862,Mani Swamy
Ezhil Rajan,EPIC10863,Ganesh Rajan
Chitra Natarajan,EPIC10864,Mani Natarajan
Karthik Reddy,EPIC10865,Subramanian Sundaram
Hari Swamy,EPIC10866,Prakash Reddy
Ram Swamy,EPIC10867,Suresh Natarajan
Murali Pillai,EPIC10868,Ganesh Pillai
Janaki Reddy,EPIC10869,Mani Reddy
Gokul Reddy,EPIC10870,Krishnan Iyer
Chitra Pillai,EPIC10871,Subramanian Reddy
