Voter Name,Voter ID,Father's Name
Ezhil Kumar,EPIC11169,Suresh Natarajan
Karthik Reddy,EPIC11170,Ganesh Sundaram
Indu Reddy,EPIC11171,Krishnan Rajan
Siva Swamy,EPIC11172,Krishnan Swamy
Siva Natarajan,EPIC11173,Subramanian Rajan
Arun Swamy,EPIC11174,Mani Sundaram
Siva Pillai,EPIC11175,Murugan Pillai
Prasad Natarajan,EPIC11176,Ganesh Rajan
Murali Reddy,EPIC11177,Mani Reddy
Siva Rajan,EPIC11178,Prakash Kumar
Karthik Sundaram,EPIC11179,Subramanian Rajan
Janaki Swamy,EPIC11180,Murugan Iyer
Janaki Kumar,EPIC11181,Ganesh Sundaram
Janaki Reddy,EPIC11182,Ramesh Pillai
