Voter Name,Voter ID,Father's Name
Karthik Reddy,EPIC11215,Ramesh Pillai
Murali Rajan,EPIC11216,Mani Swamy
Ezhil Sundaram,EPIC11217,Subramanian Natarajan
Bala Natarajan,EPIC11218,Prakash Natarajan
Arun Natarajan,EPIC11219,Ramesh Pillai
Arun Iyer,EPIC11220,Ramesh Iyer
Gokul Rajan,EPIC11221,Prakash Reddy
Nisha Sundaram,EPIC11222,Prakash Reddy
Nisha Sundaram,EPIC11223,Mani Iyer
Bala Natarajan,EPIC11224,Ramesh Rajan
Ram Rajan,EPIC11225,Krishnan Iyer
Murali Kumar,EPIC11226,Mani Natarajan
Ezhil Reddy,EPIC11227,Ganesh Pillai
Nisha Kumar,EPIC11228,Mani Pillai
Nisha Reddy,EPIC11229,Krishnan Swamy
