Voter Name,Voter ID,Father's Name
Gokul Iyer,EPIC11254,Krishnan Rajan
Arun Iyer,EPIC11255,Ganesh Kumar
Janaki Reddy,EPIC11256,Murugan Iyer
Karthik Reddy,EPIC11257,Suresh Iyer
Arun Swamy,EPIC11258,Subramanian Sundaram
Bala Natarajan,EPIC11259,Murugan Rajan
Nisha Iyer,EPIC11260,Suresh Natarajan
Arun Kumar,EPIC11261,Prakash Sundaram
Prasad Rajan,EPIC11262,Ganesh Iyer
Karthik Rajan,EPIC11263,Krishnan Reddy
Siva Sundaram,EPIC11264,Ganesh Rajan
Siva Kumar,EPIC11265,Ramesh Rajan
Prasad Pillai,EPIC11266,Ramesh Sundaram
