Voter Name,Voter ID,Father's Name
Nisha Swamy,EPIC11310,Prakash Iyer
Indu Pillai,EPIC11311,Ramesh Natarajan
Ram Pillai,EPIC11312,Subramanian Iyer
Karthik Swamy,EPIC11313,Suresh Iyer
Lakshmi Pillai,EPIC11314,Ramesh Swamy
Indu Natarajan,EPIC11315,Prakash Kumar
Janaki Rajan,EPIC11316,Murugan Swamy
Arun Sundaram,EPIC11317,Murugan Iyer
Nisha Swamy,EPIC11318,Ramesh Rajan
Ezhil Kumar,EPIC11319,Suresh Sundaram
Arun Swamy,EPIC11320,Ramesh Reddy
Gokul Swamy,EPIC11321,Prakash Iyer
Murali Iyer,EPIC11322,Ramesh Swamy
Prasad Swamy,EPIC11323,Suresh Kumar
Lakshmi Rajan,EPIC11324,Murugan Rajan
