Voter Name,Voter ID,Father's Name
Murali Pillai,EPIC11378,Suresh Reddy
Bala Natarajan,EPIC11379,Subramanian Kumar
Chitra Kumar,EPIC11380,Subramanian Reddy
Karthik Iyer,EPIC11381,Ramesh Natarajan
Gokul Natarajan,EPIC11382,Suresh Kumar
Bala Iyer,EPIC11383,Ramesh Reddy
Chitra Natarajan,EPIC11384,Suresh Natarajan
Bala Iyer,EPIC11385,Krishnan Rajan
Lakshmi Iyer,EPIC11386,Mani Swamy
Chitra Rajan,EPIC11387,Ganesh Reddy
Janaki Pillai,EPIC11388,Prakash Kumar
Ram Swamy,EPIC11389,Suresh Swamy
Indu Natarajan,EPIC11390,Ramesh Rajan
