Voter Name,Voter ID,Father's Name
Gokul Swamy,EPIC11398,Ramesh Pillai
Chitra Sundaram,EPIC11399,Subramanian Reddy
Arun Rajan,EPIC11400,Murugan Sundaram
Nisha Swamy,EPIC11401,Suresh Pillai
Ram Sundaram,EPIC11402,Ganesh Reddy
Prasad Iyer,EPIC11403,Murugan Swamy
Murali Sundaram,EPIC11404,Suresh Kumar
Indu Pillai,EPIC11405,Subramanian Sundaram
Nisha Pillai,EPIC11406,Ramesh Sundaram
Lakshmi Natarajan,EPIC11407,Krishnan Swamy
Prasad Pillai,EPIC11408,Prakash Iyer
Lakshmi Natarajan,EPIC11409,Murugan Natarajan
