Voter Name,Voter ID,Father's Name
Janaki Reddy,EPIC11573,Ramesh Reddy
Arun Kumar,EPIC11574,Suresh Rajan
Janaki Reddy,EPIC11575,Murugan Natarajan
Nisha Kumar,EPIC11576,Mani Sundaram
Murali Iyer,EPIC11577,Ganesh Kumar
Prasad Natarajan,EPIC11578,Suresh Natarajan
Arun Swamy,EPIC11579,Mani Sundaram
Karthik Kumar,EPIC11580,Prakash Kumar
Chitra Reddy,EPIC11581,Mani Natarajan
Murali Rajan,EPIC11582,Suresh Iyer
Lakshmi Natarajan,EPIC11583,Ramesh Rajan
Ram Reddy,EPIC11584,Suresh Rajan
Hari Kumar,EPIC11585,Ramesh Iyer
Arun Iyer,EPIC11586,Ramesh Swamy
