Voter Name,Voter ID,Father's Name
Chitra Pillai,EPIC11957,Murugan Pillai
Siva Iyer,EPIC11958,Subramanian Swamy
Murali Reddy,EPIC11959,Ramesh Rajan
Ram Iyer,EPIC11960,Mani Sundaram
Nisha Kumar,EPIC11961,Ganesh Pillai
Nisha Reddy,EPIC11962,Ganesh Kumar
Janaki Natarajan,EPIC11963,Ganesh Kumar
Hari Kumar,EPIC11964,Prakash Sundaram
Indu Reddy,EPIC11965,Murugan Iyer
Indu Reddy,EPIC11966,Ganesh Rajan
Arun Rajan,EPIC11967,Mani Reddy
Bala Sundaram,EPIC11968,Krishnan Swamy
Ram Rajan,EPIC11969,Ramesh Reddy
