Voter Name,Voter ID,Father's Name
Deepa Rajan,EPIC12075,Krishnan Iyer
Gokul Pillai,EPIC12076,Subramanian Swamy
Janaki Swamy,EPIC12077,Prakash Pillai
Deepa Reddy,EPIC12078,Krishnan Swamy
Arun Reddy,EPIC12079,Ganesh Natarajan
Gokul Kumar,EPIC12080,Krishnan Reddy
Indu Natarajan,EPIC12081,Ganesh Swamy
Ram Natarajan,EPIC12082,Ganesh Swamy
Karthik Kumar,EPIC12083,Ramesh Reddy
Nisha Pillai,EPIC12084,Murugan Natarajan
Arun Reddy,EPIC12085,Ramesh Pillai
Hari Rajan,EPIC12086,Subramanian Kumar
Janaki Swamy,EPIC12087,Murugan Iyer
Prasad Natarajan,EPIC12088,Murugan Iyer
Bala Rajan,EPIC12089,Suresh Rajan
