Voter Name,Voter ID,Father's Name
Arun Reddy,EPIC12252,Mani Swamy
Bala Rajan,EPIC12253,Mani Reddy
Siva Swamy,EPIC12254,Ramesh Natarajan
Ezhil Rajan,EPIC12255,Suresh Iyer
Hari Reddy,EPIC12256,Krishnan Iyer
Siva Sundaram,EPIC12257,Mani Iyer
Prasad Rajan,EPIC12258,Subramanian Reddy
Ram Sundaram,EPIC12259,Murugan Natarajan
Chitra Sundaram,EPIC12260,Ramesh Kumar
Ram Rajan,EPIC12261,Krishnan Sundaram
Siva Pillai,EPIC12262,Murugan Rajan
Murali Pillai,EPIC12263,Mani Rajan
Lakshmi Iyer,EPIC12264,Ganesh Rajan
Arun Natarajan,EPIC12265,Ganesh Rajan
Bala Swamy,EPIC12266,Mani Kumar
